generator,method,n,edge_auc_mean,edge_auc_std,pair_auc_mean,pair_auc_std,precision_at_k_mean,precision_at_k_std,shd_mean,shd_std,lag_accuracy_mean,lag_accuracy_std
nonlinear_var,DynGranger-F,20,0.9752336093849763,0.027252013437968275,0.9726858201197874,0.025359643318220063,0.8776394259942493,0.0667147855049422,7.6,4.706099066217437,0.9635206216370946,0.04919396013101703
nonlinear_var,DynVAR-Lasso,20,0.9556390912341284,0.0498824529903545,0.9423521041379136,0.046966198832351494,0.8200325248153432,0.09984122814716685,11.3,7.767001724570021,0.9685927812608848,0.05686312769419736
nonlinear_var,DynVAR-Ridge,20,0.9431524093140048,0.05138683214677223,0.9167445508084849,0.06198520462232832,0.7674701931877531,0.11184455431639131,14.5,8.87041208323017,0.9642680157971574,0.04835445737034214
nonlinear_var,Granger-F,20,0.9806457286153574,0.02835160218549702,0.9850617770508603,0.020675564615260943,0.9251036492363713,0.06565922645984085,4.8,4.741751841494427,0.9773929773929775,0.05140698007346483
nonlinear_var,LagCorr,20,0.7871793512376601,0.09040243955658098,0.7859485974594005,0.08737643520982306,0.5309649246141811,0.09733836606339699,28.8,9.934522476803064,0.7332962541026634,0.09958233993213042
nonlinear_var,Random,20,0.48497081778610635,0.060120590372082616,0.48273708037306473,0.06925927805132163,0.16873546249844978,0.06190691158732803,49.8,7.48050096830701,0.42440047867203046,0.07750724400020206
nonlinear_var,STCG-v0,20,0.9481685573980856,0.049434401364704394,0.9245270706544536,0.0592427221346118,0.7807542818997844,0.1065805646914089,13.5,7.674290640971663,0.956956108754647,0.05885165561002224
nonlinear_var,STCG-v1,20,0.9690631529959095,0.04046103066402425,0.9642973620655788,0.03332463754350497,0.8598820257087167,0.08770735495932432,8.9,7.033004897960533,0.9755394803950839,0.04877152195537926
nonlinear_var,VAR-Lasso,20,0.9784499076854368,0.04120367909159805,0.9796593376851565,0.029131738317196076,0.9122847713103663,0.08799369097892155,5.7,6.530092285960276,0.9823863636363637,0.05698771888670323
nonlinear_var,VAR-Ridge,20,0.9733256800603579,0.037053582117744156,0.9691317978596631,0.03730964352758267,0.8810532099273575,0.09519801562435136,7.6,7.125934841718737,0.9816257816257817,0.04989324697339957
switching_var,DynGranger-F,20,0.7966506918116949,0.03913453442117615,0.8298535934931313,0.05530290322267779,0.6499782727091924,0.04413247573510253,38.1,5.928521605008506,0.7908835417084383,0.05208894832599336
switching_var,DynVAR-Lasso,20,0.7981215401291505,0.04046714339425339,0.8296617812582345,0.05822868348922267,0.6456914249249437,0.0465488457214559,38.6,6.361065782927955,0.7969769544734653,0.05836434751696674
switching_var,DynVAR-Ridge,20,0.7960812534988636,0.039601364351632716,0.8270851943878299,0.057399341050549904,0.641808833141907,0.046840214339188134,39.0,6.206957047497081,0.7912766606152768,0.054634536368465325
switching_var,Granger-F,20,0.7783055532380285,0.04599852125631676,0.8062059378896885,0.050966128020107866,0.6217946253019544,0.050254868691876176,41.2,7.030759485814347,0.7698943876096587,0.06299028445930714
switching_var,LagCorr,20,0.770416234370352,0.046948193717109156,0.8051940442032267,0.045492447908639634,0.6169583187336108,0.05026618925519479,41.8,7.674976427188212,0.7635759289458688,0.05986483455909445
switching_var,Random,20,0.4783155606199867,0.052756555931369485,0.4717762087841808,0.08092548663466542,0.30130492669345216,0.06643423755658211,75.7,6.814072126663206,0.46547686611526284,0.07885584070738058
switching_var,STCG-v0,20,0.7801436514160276,0.04167709168498383,0.789508946195751,0.0725280084698572,0.6151109500528638,0.047495374695215524,41.9,6.5686656499667135,0.7767768862175265,0.06737239009297968
switching_var,STCG-v1,20,0.8124606203901402,0.04738987254075569,0.8388527358051319,0.057537209787314456,0.6730614910064056,0.058644853398050485,35.5,6.517183763753046,0.8112649957628706,0.06186187917405102
switching_var,VAR-Lasso,20,0.7796054800254605,0.045712913498060476,0.8081863899031102,0.05204041528202781,0.6250966042394864,0.05189986447991404,40.8,6.879412459612644,0.7669897179898728,0.06236080229714208
switching_var,VAR-Ridge,20,0.7787613626984345,0.0460443927918181,0.8061861400554109,0.05287792098442328,0.6235740247843571,0.05330023599132546,41.0,7.26925754552402,0.7697617643849303,0.0678583990225339
var,DynGranger-F,20,0.8609962519164023,0.04244292729812475,0.8462777312907737,0.05902033671132929,0.639476637023741,0.06348280172626883,21.5,4.148557136618643,0.838119227987294,0.0715170742639111
var,DynVAR-Lasso,20,0.8658679109469885,0.0407105442462392,0.848608994711212,0.056791046638638876,0.6450450640618878,0.06448952281539128,21.2,4.225237458291234,0.8472495338244963,0.0802114329776363
var,DynVAR-Ridge,20,0.8623753099011354,0.040951807028720956,0.846890241657116,0.05557406565550104,0.6431340386609647,0.06050766393447009,21.3,4.014447592594056,0.8417601158350785,0.07906841360286572
var,Granger-F,20,0.9203879668923701,0.03337861672364161,0.9147685252930812,0.043133085104900604,0.7660781528479564,0.05750051931845099,13.9,3.33876750029897,0.8882048955403528,0.06270019317811946
var,LagCorr,20,0.9172718309892856,0.02672680292909323,0.9017671062197229,0.034020537315519774,0.7354557999708644,0.052108340935990996,15.9,3.9189149948476945,0.9091856611030149,0.06364963470887935
var,Random,20,0.48497081778610635,0.060120590372082616,0.48273708037306473,0.06925927805132163,0.16873546249844978,0.06190691158732803,49.8,7.48050096830701,0.42440047867203046,0.07750724400020206
var,STCG-v0,20,0.847193280836686,0.047362705268578296,0.8491244571546904,0.047826909725559016,0.6305526850630541,0.06427491895139603,22.1,4.745080555025827,0.8070867439656795,0.10724708646173432
var,STCG-v1,20,0.876469126255914,0.03894227646169933,0.8735628369229461,0.049023980818217794,0.664902009316631,0.06492798582487701,19.9,3.809959248297049,0.8448832575886549,0.08076796249070355
var,VAR-Lasso,20,0.9235450031786401,0.031319865187009535,0.9163348628472864,0.04308675551042978,0.7656643467419596,0.05785840078119732,13.9,3.275105462343722,0.8902048955403528,0.06567807397637128
var,VAR-Ridge,20,0.9207382081005783,0.032732735657492566,0.9150542251842783,0.04156252181992605,0.7638124948901078,0.06047928246717705,14.0,3.3717089216940983,0.8874271177625751,0.06928573174924826
