generator,seed,method,edge_auc,pair_auc,precision_at_k,shd,lag_accuracy,true_edges,edge_density,inferred_state_count,oracle_state_count,oracle_window_purity
switching_var,0,DynVAR-Lasso,0.8626307665923513,0.8875,0.6938775510204082,30.0,0.8333333333333334,49.0,0.2916666666666667,nan,nan,nan
switching_var,0,STCG-v1/no-state,0.8626307665923513,0.8875,0.6938775510204082,30.0,0.8333333333333334,49.0,0.2916666666666667,nan,nan,nan
switching_var,0,STCG-v1/inferred-state,0.9037900874635568,0.9305555555555556,0.7346938775510204,26.0,0.8888888888888888,49.0,0.2916666666666667,2,nan,nan
switching_var,0,Oracle-state upper bound,0.892128279883382,0.8583333333333333,0.6938775510204082,30.0,0.8611111111111112,49.0,0.2916666666666667,nan,2,0.9166666666666666
switching_var,1,DynVAR-Lasso,0.7691682910981157,0.8390243902439024,0.6111111111111112,42.0,0.7804878048780488,54.0,0.32142857142857145,nan,nan,nan
switching_var,1,STCG-v1/no-state,0.7691682910981157,0.8390243902439024,0.6111111111111112,42.0,0.7804878048780488,54.0,0.32142857142857145,nan,nan,nan
switching_var,1,STCG-v1/inferred-state,0.7941845354126056,0.8845528455284553,0.6851851851851852,34.0,0.7804878048780488,54.0,0.32142857142857145,2,nan,nan
switching_var,1,Oracle-state upper bound,0.7941845354126056,0.8845528455284553,0.6851851851851852,34.0,0.7804878048780488,54.0,0.32142857142857145,nan,2,0.9166666666666666
switching_var,2,DynVAR-Lasso,0.8433355437665783,0.9203125,0.6923076923076923,32.0,0.825,52.0,0.30952380952380953,nan,nan,nan
switching_var,2,STCG-v1/no-state,0.8433355437665783,0.9203125,0.6923076923076923,32.0,0.825,52.0,0.30952380952380953,nan,nan,nan
switching_var,2,STCG-v1/inferred-state,0.8575928381962865,0.9,0.7692307692307693,24.0,0.85,52.0,0.30952380952380953,2,nan,nan
switching_var,2,Oracle-state upper bound,0.8607427055702918,0.9203125,0.75,26.0,0.775,52.0,0.30952380952380953,nan,2,0.9166666666666666
switching_var,3,DynVAR-Lasso,0.770185383790409,0.8486394557823129,0.639344262295082,44.0,0.7857142857142857,61.0,0.3630952380952381,nan,nan,nan
switching_var,3,STCG-v1/no-state,0.770185383790409,0.8486394557823129,0.639344262295082,44.0,0.7857142857142857,61.0,0.3630952380952381,nan,nan,nan
